#Endpoint, status Sat Dec 12 2019
http://resource.geolba.ac.at/PoolParty/sparql/lithology, HTTP/1.1 200 OK
http://resource.geolba.ac.at/PoolParty/sparql/tectonicunit, HTTP/1.1 200 OK
http://revyu.com/sparql, HTTP/1.1 200 OK
http://semanticweb.cs.vu.nl/dss/sparql/, HTTP/1.1 302 Moved Temporarily
http://semanticweb.cs.vu.nl/iati/sparql/, HTTP/1.1 302 Moved Temporarily
http://semanticweb.cs.vu.nl/verrijktkoninkrijk/sparql/, HTTP/1.1 302 Moved Temporarily
http://serendipity.utpl.edu.ec/lod/sparql, HTTP/1.1 200 OK
http://services.data.gov/sparql, HTTP/1.1 302 Found : Moved Temporarily
http://setaria.oszk.hu/sparql, HTTP/1.1 503 Service Temporarily Unavailable
http://sgd.bio2rdf.org/sparql, HTTP/1.1 301 Moved Permanently
http://sider.bio2rdf.org/sparql, HTTP/1.1 301 Moved Permanently
http://smartlink.open.ac.uk/smartlink/sparql, HTTP/1.1 404 Not Found
http://soa4all.isoco.net/luf/sparql, HTTP/1.1 200 OK
http://sparql.archives-ouvertes.fr/sparql, HTTP/1.1 200 OK
http://sparql.bioontology.org/, HTTP/1.1 200 OK
http://sparql.contextdatacloud.org, HTTP/1.1 400 Bad Request
http://sparql.cwrc.ca/sparql, HTTP/1.1 200 OK
http://sparql.data.southampton.ac.uk/, HTTP/1.1 200 OK
http://sparql.datao.net/sparql, HTTP/1.1 200 OK
http://sparql.europeana.eu/, HTTP/1.1 200 OK
http://sparql.kpath.khaos.uma.es/, HTTP/1.1 503 Service Temporarily Unavailable
http://sparql.kupkb.org/sparql, HTTP/1.1 200 OK
http://sparql.lynx-project.eu/, HTTP/1.1 200 OK
http://sparql.odw.tw, HTTP/1.1 200 OK
http://sparql.openmobilenetwork.org, HTTP/1.1 400 Bad Request
http://sparql.reegle.info/, HTTP/1.1 200 OK
http://sparql.sindice.com/sparql, HTTP/1.1 301 Moved Permanently
http://sparql.southgreen.fr/, HTTP/1.1 200 OK
http://sparql.sstu.ru:3030/speciality-vocabulary/query, HTTP/1.1 404 Not Found
http://sparql.uniprot.org, HTTP/1.1 301 Moved Permanently
http://sparql.wikipathways.org/, HTTP/1.1 200 OK
http://spending.lichfielddc.gov.uk/sparql, HTTP/1.1 301 Moved Permanently
http://srvgal78.deri.ie:8004/sparql/, HTTP/1.1 200 OK
http://statistics.data.gov.uk/sparql, HTTP/1.1 200 OK
http://statistics.gov.scot/sparql, HTTP/1.1 200 OK
http://taxonomy.bio2rdf.org/sparql, HTTP/1.1 301 Moved Permanently
http://taxref.mnhn.fr/sparql, HTTP/1.1 200 OK
http://tcga.deri.ie, HTTP/1.1 200 OK
http://telegraphis.net/data/countries/sparql, HTTP/1.1 500 Internal Server Error
http://tsu.eagle-i.net/sparqler/sparql, HTTP/1.1 200 OK
http://tuskegee.eagle-i.net/sparqler/sparql, HTTP/1.1 200 OK
http://uccaribe.eagle-i.net/sparqler/sparql, HTTP/1.1 200 OK
http://upr.eagle-i.net/sparqler/sparql, HTTP/1.1 200 OK
http://uriburner.com/sparql, HTTP/1.1 200 OK
http://utep.eagle-i.net/sparqler/sparql, HTTP/1.1 200 OK
http://utsa.eagle-i.net/sparqler/sparql, HTTP/1.1 200 OK
http://vocab.getty.edu/sparql, HTTP/1.1 200 OK
http://vocab.nerc.ac.uk/sparql/, HTTP/1.1 200 OK
http://vocabs.ands.org.au/repository/api/sparql/anzsrc-for, HTTP/1.1 200 OK
http://vocabs.ands.org.au/repository/api/sparql/csiro_international-chronostratigraphic-chart_2018, HTTP/1.1 200 OK
http://vocabs.ands.org.au/repository/api/sparql/csiro_international-chronostratigraphic-chart_2018-revised-corrected, HTTP/1.1 200 OK
http://vocabs.ands.org.au/repository/api/sparql/csiro_international-chronostratigraphic-chart_international-chronostratigraphic-chart, HTTP/1.1 404 Not Found
http://vocabs.ands.org.au/repository/api/sparql/ga_geologic-unit-type_v0- HTTP/1.1 200 OK
http://vocabulary.curriculum.edu.au/PoolParty/sparql/scot, HTTP/1.1 200 OK
http://vocabulary.semantic-web.at/PoolParty/sparql/AustrianSkiTeam, HTTP/1.1 200 OK
http://vocabulary.semantic-web.at/PoolParty/sparql/OpenData, HTTP/1.1 200 OK
http://vocabulary.semantic-web.at/PoolParty/sparql/semweb, HTTP/1.1 200 OK
http://webenemasuno.linkeddata.es/sparql, HTTP/1.1 200 OK
http://webisa.webdatacommons.org/sparql, HTTP/1.1 200 OK
http://wifo5-03.informatik.uni-mannheim.de/dblp/sparql, HTTP/1.1 404 Not Found
http://wifo5-03.informatik.uni-mannheim.de/drugbank/sparql, HTTP/1.1 200 OK
http://wifo5-03.informatik.uni-mannheim.de/eccompetition/sparql, HTTP/1.1 503 Service Unavailable
http://wifo5-03.informatik.uni-mannheim.de/euraxess/sparql, HTTP/1.1 404 Not Found
http://wifo5-03.informatik.uni-mannheim.de/eures/sparql, HTTP/1.1 404 Not Found
http://wikidata.demo.openlinksw.com/sparql, HTTP/1.1 301 Moved Permanently
http://wormbase.bio2rdf.org/sparql, HTTP/1.1 301 Moved Permanently
http://www.archivesdefrance.culture.gouv.fr/thesaurus/sparql, HTTP/1.1 301 Moved Permanently
http://www.colinda.org/endpoint.php, HTTP/1.1 200 OK
http://www.ebi.ac.uk/rdf/services/atlas/sparql, HTTP/1.1 301 Moved Permanently
http://www.eclap.eu/sparql, HTTP/1.1 503 Service Temporarily Unavailable
http://www.genome.jp/sparql/linkdb, HTTP/1.0 301 Moved Permanently
http://www.icane.es/opendata/sparql, HTTP/1.1 301 Moved Permanently
http://www.imagesnippets.com/sparql/images, HTTP/1.1 200 OK
http://www.linkedlifedata.com/sparql, HTTP/1.1 200 OK
http://www.linklion.org:8890/sparql, HTTP/1.1 200 OK
http://www.lotico.com:3030/lotico/sparql, HTTP/1.1 200 OK
http://www.rdfabout.com/sparql, HTTP/1.1 301 Moved Permanently
